cmd,time,pwmL,pwmR,encL,encR
5,3348,232,232,1149,1017
5,3358,232,232,1154,1022
5,3368,232,232,1160,1028
5,3378,232,232,1165,1033
5,3388,232,232,1170,1039
5,3398,232,232,1176,1044
5,3408,229,229,1181,1050
5,3418,229,229,1186,1055
5,3428,229,229,1191,1060
5,3438,229,229,1197,1066
5,3448,226,226,1202,1072
5,3458,226,226,1207,1077
5,3468,226,226,1212,1082
5,3478,226,226,1217,1088
5,3488,224,224,1222,1093
5,3499,224,224,1228,1099
5,3509,224,224,1233,1105
5,3519,224,224,1238,1110
5,3529,221,221,1243,1116
5,3539,221,221,1248,1121
5,3549,221,221,1253,1126
5,3559,219,219,1258,1132
5,3569,219,219,1263,1138
5,3579,219,219,1268,1143
5,3589,219,219,1272,1148
5,3599,219,219,1277,1154
5,3609,216,216,1283,1159
5,3619,216,216,1288,1165
5,3629,214,214,1292,1169
5,3639,214,214,1297,1175
5,3649,214,214,1302,1180
5,3659,214,214,1307,1186
5,3670,211,211,1312,1191
5,3680,211,211,1318,1196
5,3690,209,209,1323,1202
5,3700,209,209,1328,1207
5,3710,209,209,1333,1212
5,3720,209,209,1337,1217
5,3730,206,206,1342,1222
5,3740,206,206,1347,1227
5,3750,204,204,1352,1233
5,3760,204,204,1356,1237
5,3770,204,204,1361,1242
5,3780,201,201,1366,1248
5,3790,201,201,1371,1253
5,3800,198,198,1375,1257
5,3810,198,198,1380,1262
5,3820,198,198,1384,1267
5,3830,196,196,1389,1272
5,3840,196,196,1393,1277
5,3850,193,193,1397,1282
5,3860,193,193,1401,1286
5,3870,191,191,1405,1291
5,3880,191,191,1410,1296
5,3890,191,191,1413,1300
5,3900,191,191,1417,1305
5,3910,188,188,1421,1310
5,3920,188,188,1425,1314
5,3930,186,186,1428,1318
5,3940,186,186,1432,1323
5,3950,183,183,1435,1327
5,3960,181,181,1439,1332
5,3970,181,181,1442,1336
5,3980,181,181,1445,1340
5,3990,178,178,1448,1345
5,4000,178,178,1451,1349
5,4011,175,175,1454,1353
5,4021,175,175,1457,1357
5,4031,173,173,1459,1361
5,4041,173,173,1462,1365
5,4051,170,170,1464,1369
5,4061,170,170,1466,1372
5,4071,168,168,1468,1376
5,4081,168,168,1470,1380
5,4091,165,165,1472,1383
5,4101,165,165,1474,1386
5,4111,160,160,1475,1389
5,4121,158,158,1477,1392
5,4131,158,158,1478,1395
5,4141,155,155,1479,1398
5,4151,155,155,1481,1401
5,4161,153,153,1484,1406
5,4171,153,153,1488,1410
5,4182,150,150,1493,1415
5,4192,150,150,1498,1420
5,4202,145,145,1503,1426
5,4212,145,145,1508,1431
5,4222,142,142,1513,1437
5,4232,142,142,1518,1441
5,4242,140,140,1524,1447
5,4252,140,140,1529,1453
5,4262,135,135,1534,1458
5,4272,135,135,1539,1463
5,4282,135,135,1545,1469
5,4292,132,132,1551,1474
5,4302,130,130,1556,1480
5,4312,130,130,1561,1485
5,4322,124,124,1567,1491
5,4332,124,124,1572,1496
5,4342,122,122,1577,1502
5,4352,122,122,1582,1506
5,4362,119,119,1587,1511
5,4372,119,119,1591,1516
5,4382,114,114,1596,1521
5,4392,114,114,1601,1526
5,4402,112,112,1604,1530
5,4412,112,112,1609,1535
5,4422,107,107,1613,1539
5,4432,107,107,1616,1543
5,4442,104,104,1619,1547
5,4452,104,104,1623,1551
5,4462,104,104,1626,1555
5,4472,99,99,1629,1558
5,4482,94,94,1632,1562
5,4492,94,94,1636,1567
5,4502,91,91,1641,1572
5,4512,91,91,1645,1577
5,4523,86,86,1650,1582
5,4533,86,86,1655,1588
5,4543,84,84,1660,1593
5,4553,84,84,1666,1599
5,4563,79,79,1671,1604
5,4573,79,79,1675,1609
5,4583,73,73,1681,1615
5,4593,73,73,1686,1620
5,4603,68,68,1691,1626
5,4613,68,68,1696,1631
5,4623,66,66,1701,1637
5,4633,66,66,1706,1642
5,4643,61,61,1711,1648
5,4653,61,61,1716,1653
5,4663,56,56,1721,1658
5,4673,56,56,1726,1664
5,4683,51,51,1731,1669
5,4694,51,51,1736,1674
5,4704,48,48,1741,1680
5,4714,48,48,1746,1685
5,4724,43,43,1751,1690
5,4734,43,43,1756,1696
5,4744,38,38,1760,1700
5,4754,38,38,1765,1705
5,4764,33,33,1769,1711
5,4774,33,33,1774,1716
5,4784,28,28,1778,1720
5,4794,28,28,1783,1725
5,4804,22,22,1787,1730
5,4814,22,22,1791,1734
5,4824,17,17,1795,1739
5,4834,17,17,1799,1743
5,4844,12,12,1803,1748
5,4854,12,12,1806,1752
5,4864,7,7,1810,1756
5,4874,7,7,1813,1760
5,4884,2,2,1816,1764
5,4894,2,2,1820,1767
5,4904,0,0,1823,1771
5,4914,0,0,1825,1774
5,4924,-5,-5,1828,1778
5,4934,-5,-5,1830,1781
5,4944,-10,-10,1832,1784
5,4954,-10,-10,1834,1786
5,4964,-15,-15,1836,1789
5,4974,-15,-15,1837,1791
5,4984,-20,-20,1838,1793
5,4994,-20,-20,1838,1794
5,5004,-25,-25,1839,1795
5,5014,-25,-25,1839,1796
5,5024,-30,-30,1839,1796
5,5035,-30,-30,1838,1796
5,5045,-35,-35,1837,1795
5,5055,-35,-35,1836,1794
5,5065,-40,-40,1835,1793
5,5075,-40,-40,1834,1791
5,5085,-45,-45,1832,1789
5,5095,-45,-45,1830,1787
5,5105,-51,-51,1828,1784
5,5115,-51,-51,1825,1781
5,5125,-56,-56,1823,1778
5,5135,-56,-56,1820,1775
5,5145,-61,-61,1817,1771
5,5155,-61,-61,1813,1767
5,5165,-66,-66,1810,1763
5,5175,-66,-66,1806,1758
5,5185,-71,-71,1802,1754
5,5195,-71,-71,1797,1749
5,5206,-76,-76,1793,1744
5,5216,-76,-76,1788,1739
5,5226,-81,-81,1784,1734
5,5236,-81,-81,1779,1729
5,5246,-86,-86,1774,1724
5,5256,-86,-86,1769,1719
5,5266,-91,-91,1764,1713
5,5276,-91,-91,1758,1708
5,5286,-96,-96,1753,1702
5,5296,-96,-96,1748,1698
5,5306,-102,-102,1742,1692
5,5316,-102,-102,1737,1687
5,5326,-107,-107,1732,1682
5,5336,-107,-107,1727,1677
