      3.72,     24.44,     24.44
      3.74,     22.66,     22.66
      3.76,     20.87,     20.87
      3.78,     19.05,     19.05
      3.80,     17.22,     17.22
      3.82,     15.37,     15.37
      3.84,     13.50,     13.50
      3.86,     11.61,     11.61
      3.88,      9.71,      9.71
      3.90,      7.79,      7.79
      3.92,      5.85,      5.85
      3.94,      3.90,      3.90
      3.96,      1.94,      1.94
      3.98,     -0.04,     -0.04
      4.00,     -2.03,     -2.03
      4.02,     -4.03,     -4.03
      4.04,     -6.04,     -6.04
      4.06,     -8.06,     -8.06
      4.08,    -10.09,    -10.09
      4.10,    -12.13,    -12.13
      4.12,    -14.18,    -14.18
      4.14,    -16.23,    -16.23
      4.16,    -18.29,    -18.29
      4.18,    -20.35,    -20.35
      4.20,    -22.41,    -22.41
      4.22,    -24.48,    -24.48
      4.24,    -26.55,    -26.55
      4.26,    -28.62,    -28.62
      4.28,    -30.68,    -30.68
      4.30,    -32.75,    -32.75
      4.32,    -34.81,    -34.81
      4.34,    -36.86,    -36.86
      4.36,    -38.91,    -38.91
      4.38,    -40.95,    -40.95
      4.40,    -42.99,    -42.99
      4.42,    -45.01,    -45.01
      4.44,    -47.02,    -47.02
      4.46,    -49.01,    -49.01
      4.48,    -50.99,    -50.99
      4.50,    -52.96,    -52.96
      4.52,    -54.91,    -54.91
      4.54,    -56.84,    -56.84
      4.56,    -58.75,    -58.75
      4.58,    -60.63,    -60.63
      4.60,    -62.49,    -62.49
      4.62,    -64.33,    -64.33
      4.64,    -66.14,    -66.14
      4.66,    -67.92,    -67.92
      4.68,    -69.67,    -69.67
      4.70,    -71.39,    -71.39
      4.72,    -73.08,    -73.08
      4.74,    -74.73,    -74.73
      4.76,    -76.34,    -76.34
      4.78,    -77.92,    -77.92
      4.80,    -79.45,    -79.45
      4.82,    -80.95,    -80.95
      4.84,    -82.40,    -82.40
      4.86,    -83.80,    -83.80
      4.88,    -85.16,    -85.16
      4.90,    -86.47,    -86.47
      4.92,    -87.73,    -87.73
      4.94,    -88.93,    -88.93
      4.96,    -90.09,    -90.09
      4.98,    -91.19,    -91.19
      5.00,    -92.23,    -92.23
      5.02,    -93.21,    -93.21
      5.04,    -94.13,    -94.13
      5.06,    -94.99,    -94.99
      5.08,    -95.79,    -95.79
      5.10,    -96.53,    -96.53
      5.12,    -97.19,    -97.19
      5.14,    -97.79,    -97.79
      5.16,    -98.32,    -98.32
      5.18,    -98.78,    -98.78
      5.20,    -99.17,    -99.17
      5.22,    -99.49,    -99.49
      5.24,    -99.73,    -99.73
      5.26,    -99.89,    -99.89
      5.28,    -99.98,    -99.98
      5.30,   -100.00,   -100.00
      5.32,    -99.93,    -99.93
      5.34,    -99.78,    -99.78
      5.36,    -99.55,    -99.55
      5.38,    -99.24,    -99.24
      5.40,    -98.85,    -98.85
      5.42,    -98.37,    -98.37
      5.44,    -97.81,    -97.81
      5.46,    -97.17,    -97.17
      5.48,    -96.44,    -96.44
      5.50,    -95.63,    -95.63
      5.52,    -94.73,    -94.73
      5.54,    -93.74,    -93.74
      5.56,    -92.67,    -92.67
      5.58,    -91.51,    -91.51
      5.60,    -90.27,    -90.27
      5.62,    -88.94,    -88.94
      5.64,    -87.52,    -87.52
      5.66,    -86.02,    -86.02
      5.68,    -84.43,    -84.43
      5.70,    -82.75,    -82.75
      5.72,    -81.00,    -81.00
      5.74,    -79.16,    -79.16
      5.76,    -77.23,    -77.23
      5.78,    -75.23,    -75.23
      5.80,    -73.14,    -73.14
      5.82,    -70.98,    -70.98
      5.84,    -68.73,    -68.73
      5.86,    -66.41,    -66.41
      5.88,    -64.02,    -64.02
      5.90,    -61.55,    -61.55
      5.92,    -59.00,    -59.00
